"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
Imperial,US-06025,-115.058652,33.02615,C-IV,2017.0,43564.4675917,Annual Est.,,0.959864823597
Inyo,US-06027,-117.7797286,36.626,C-IV,2017.0,2223.0,5-yr. Est.,2013-2017,0.873
Kern,US-06029,-118.4426011,35.29441,C-IV,2017.0,209887.606254,Annual Est.,,0.761836312559
Kings,US-06031,-119.6135104,36.138775,C-IV,2017.0,28638.1889737,Annual Est.,,0.838146574912
Lake,US-06033,-122.9624445,39.124455,C-IV,2017.0,15017.7248495,Annual Est.,,0.794860747527
Lassen,US-06035,-120.2636913,40.446085,C-IV,2017.0,3332.0,5-yr. Est.,2013-2017,0.935
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2017.0,1575864.43294,Annual Est.,,0.68636551304
Madera,US-06039,-119.84174,37.27052,C-IV,2017.0,31441.5586372,Annual Est.,,0.895661704464
Marin,US-06041,-122.870429,38.068145,C-IV,2017.0,23372.756306,Annual Est.,,0.42250044756
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2017.0,3046.0,5-yr. Est.,2013-2017,0.608
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2017.0,15678.3238943,Annual Est.,,0.748613185896
Merced,US-06047,-120.1246993,37.18687,C-IV,2017.0,72680.0813434,Annual Est.,,0.748375607108
Modoc,US-06049,-120.1993372,41.590546,C-IV,2017.0,1681.0,5-yr. Est.,2013-2017,0.698
Mono,US-06051,-118.7402371,38.0878955,C-IV,2017.0,1605.0,5-yr. Est.,2013-2017,0.435
Monterey,US-06053,-120.9044897,36.35433,C-IV,2017.0,58641.8862177,Annual Est.,,0.796648999771
Napa,US-06055,-122.5128064,38.509635,C-IV,2017.0,8214.72835439,5-yr. Est.,2013-2017,0.778601522055
Nevada,US-06057,-120.3163119,39.266135,C-IV,2017.0,13649.9332277,5-yr. Est.,2013-2017,0.522493398396
Orange,US-06059,-117.8002615,33.66707,CalWIN,2017.0,398272.660986,Annual Est.,,0.591893501845
Placer,US-06061,-120.7858989,39.013999,CalWIN,2017.0,35939.9335023,Annual Est.,,0.454758771296
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2017.0,2838.0,5-yr. Est.,2013-2017,0.727
Riverside,US-06065,-115.0250859,33.752845,C-IV,2017.0,369185.799433,Annual Est.,,0.734253593762
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2017.0,247772.881775,Annual Est.,,0.831337951613
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2017.0,7015.0,5-yr. Est.,2013-2017,0.706
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2017.0,384675.333249,Annual Est.,,0.943273375329
San Diego,US-06073,-116.693716,33.019645,CalWIN,2017.0,446226.12442,Annual Est.,,0.604558956181
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2017.0,81070.846945,Annual Est.,,0.628363979404
