"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2014.0,Q3,0.107,0.1798,0.0616416,0.102203769
Yuba,US-06115,-121.499162,39.278915,C-IV,2014.0,Q3,0.1728,0.233,0.353948095,0.379900607
Statewide,,,,,2014.0,Q4,0.1424,0.2341,0.1286,0.1618
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2014.0,Q4,0.1168,0.2281,0.0883,0.1574
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2014.0,Q4,0.04,0.12,0.08,0.12
Amador,US-06005,-120.238969,38.46328,C-IV,2014.0,Q4,0.1712,0.2626,0.2763,0.3196
Butte,US-06007,-121.5660076,39.723785,C-IV,2014.0,Q4,0.133,0.2137,0.3112,0.3448
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2014.0,Q4,0.1298,0.2046,0.2153,0.2626
Colusa,US-06011,-122.4386143,39.169245,C-IV,2014.0,Q4,0.1098,0.2311,0.2841,0.322
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2014.0,Q4,0.092,0.1682,0.0712,0.1139
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2014.0,Q4,0.195,0.2748,0.3582,0.3954
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2014.0,Q4,0.1124,0.193,0.2003,0.2311
Fresno,US-06019,-120.862059,36.74633,CalWIN,2014.0,Q4,0.1517,0.2757,0.1093,0.1653
Glenn,US-06021,-122.1147288,39.591764,C-IV,2014.0,Q4,0.1522,0.2459,0.1967,0.2389
Humboldt,US-06023,-123.959972,40.73356,C-IV,2014.0,Q4,0.1099,0.173,0.2085,0.2328
Imperial,US-06025,-115.058652,33.02615,C-IV,2014.0,Q4,0.1475,0.2176,0.2038,0.2294
Inyo,US-06027,-117.7797286,36.626,C-IV,2014.0,Q4,0.1185,0.2195,0.3101,0.338
Kern,US-06029,-118.4426011,35.29441,C-IV,2014.0,Q4,0.2114,0.3096,0.2093,0.2499
Kings,US-06031,-119.6135104,36.138775,C-IV,2014.0,Q4,0.2172,0.3183,0.3366,0.3668
Lake,US-06033,-122.9624445,39.124455,C-IV,2014.0,Q4,0.0695,0.1481,0.3122,0.3628
